ULID,NR,HID_A,HID_B,HAELT
1017001,1,10170,10295,+
1017001,2,10295,10219,+
1017001,3,10219,10243,+
1017001,4,10243,10278,+
1017001,5,10278,10222,+
1017001,6,10222,10260,+
1017001,7,10260,10216,+
1017001,8,10216,10246,+
1017001,9,10246,10264,+
1017001,10,10264,10320,+
1017001,11,10320,10245,+
1017001,12,10245,10310,+
1017002,1,10310,10245,+
1017002,2,10245,10320,+
1017002,3,10320,10264,+
1017002,4,10264,10246,+
1017002,5,10246,10216,+
1017002,6,10216,10260,+
1017002,7,10260,10222,+
1017002,8,10222,10278,+
1017002,9,10278,10243,+
1017002,10,10243,10219,+
1017002,11,10219,10295,+
1017002,12,10295,10170,+
1017003,1,10243,10278,-
1017003,2,10278,10222,+
1017003,3,10222,10260,+
1017003,4,10260,10216,+
1017003,5,10216,10246,+
1017003,6,10246,10264,+
1017003,7,10264,10320,+
1017003,8,10320,10245,+
1017004,1,10245,10320,+
1017004,2,10320,10264,+
1017004,3,10264,10246,+
1017004,4,10246,10216,+
1017004,5,10216,10260,+
1017004,6,10260,10222,+
1017004,7,10222,10278,-
1017004,8,10278,10243,+
1018001,1,10162,10313,+
1018001,2,10313,10168,+
1018001,3,10168,10205,+
1018001,4,10205,10300,+
1018001,5,10300,10287,+
1018001,6,10287,10145,+
1018001,7,10145,10240,+
1018001,8,10240,10259,+
1018001,9,10259,10304,+
1018001,10,10304,10225,+
1018001,11,10225,10305,+
1018001,12,10305,10257,+
1018001,13,10257,10164,+
1018001,14,10164,10255,+
1018001,15,10255,10216,+
1018001,16,10216,10201,+
1018001,17,10201,10264,+
1018001,18,10264,10320,+
1018001,19,10320,10179,+
1018001,20,10179,10208,+
1018001,21,10208,10204,+
1018001,22,10204,10193,+
1018001,23,10193,10302,+
1018001,24,10302,10234,+
1018001,25,10234,10001,+
1018001,26,10001,10263,+
1018001,27,10263,10265,+
1018001,28,10265,10290,+
1018002,1,10290,10265,+
1018002,2,10265,10263,+
1018002,3,10263,10001,+
1018002,4,10001,10234,+
1018002,5,10234,10302,+
1018002,6,10302,10193,+
1018002,7,10193,10204,+
1018002,8,10204,10208,+
1018002,9,10208,10179,+
1018002,10,10179,10320,+
1018002,11,10320,10264,+
1018002,12,10264,10201,+
1018002,13,10201,10216,+
1018002,14,10216,10255,+
1018002,15,10255,10164,+
1018002,16,10164,10257,+
1018002,17,10257,10305,+
1018002,18,10305,10225,+
1018002,19,10225,10304,+
1018002,20,10304,10259,+
1018002,21,10259,10240,+
1018002,22,10240,10145,+
1018002,23,10145,10287,+
1018002,24,10287,10300,+
1018002,25,10300,10205,+
1018002,26,10205,10168,+
1018002,27,10168,10313,+
1018002,28,10313,10162,+
1018003,1,10145,10240,-
1018003,2,10240,10259,-
1018003,3,10259,10304,-
1018003,4,10304,10225,-
1018003,5,10225,10305,+
1018003,6,10305,10257,+
1018003,7,10257,10164,+
1018003,8,10164,10255,+
1018003,9,10255,10216,+
1018003,10,10216,10201,+
1018003,11,10201,10264,+
1018003,12,10264,10320,+
1018003,13,10320,10179,+
1018003,14,10179,10208,+
1018003,15,10208,10204,+
1018003,16,10204,10193,+
1018004,1,10193,10204,+
1018004,2,10204,10208,+
1018004,3,10208,10179,+
1018004,4,10179,10320,+
1018004,5,10320,10264,+
1018004,6,10264,10201,+
1018004,7,10201,10216,+
1018004,8,10216,10255,+
1018004,9,10255,10164,+
1018004,10,10164,10257,+
1018004,11,10257,10305,+
1018004,12,10305,10225,-
1018004,13,10225,10304,-
1018004,14,10304,10259,-
1018004,15,10259,10240,-
1018004,16,10240,10145,+
1019001,1,10170,10295,+
1019001,2,10295,10219,+
1019001,3,10219,10243,+
1019001,4,10243,10278,+
1019001,5,10278,10222,+
1019001,6,10222,10260,+
1019001,7,10260,10216,+
1019001,8,10216,10246,+
1019001,9,10246,10264,+
1019001,10,10264,10320,+
1019001,11,10320,10187,+
1019001,12,10187,10303,+
1019001,13,10303,10229,+
1019001,14,10229,10209,+
1019001,15,10209,10152,+
1019001,16,10152,10291,+
1019001,17,10291,10198,+
1019001,18,10198,10277,+
1019001,19,10277,10203,+
1019001,20,10203,10213,+
1019001,21,10213,10268,+
1019001,22,10268,10266,+
1019001,23,10266,10244,+
1019002,1,10244,10266,+
1019002,2,10266,10268,+
1019002,3,10268,10213,+
1019002,4,10213,10203,+
1019002,5,10203,10277,+
1019002,6,10277,10198,+
