FID,ZPID,ULID
1017001001,100001,1017001
1017001002,100001,1017001
1017001003,100001,1017001
1017001004,100001,1017001
1017001005,100001,1017001
1017001006,100001,1017001
1017001007,100001,1017001
1017001008,100001,1017001
1017001009,100001,1017001
1017001010,100001,1017001
1017001011,100001,1017001
1017001012,100001,1017001
1017001013,100001,1017001
1017001014,100001,1017001
1017001015,100001,1017001
1017001016,100001,1017001
1017001017,100001,1017001
1017001018,100001,1017001
1017001019,100001,1017001
1017001020,100001,1017001
1017001021,100001,1017001
1017001022,100001,1017001
1017001023,100001,1017001
1017001024,100001,1017001
1017001025,100001,1017001
1017002001,100001,1017002
1017002002,100001,1017002
1017002003,100001,1017002
1017002004,100001,1017002
1017002005,100001,1017002
1017002006,100001,1017002
1017002007,100001,1017002
1017002008,100001,1017002
1017002009,100001,1017002
1017002010,100001,1017002
1017002011,100001,1017002
1017002012,100001,1017002
1017002013,100001,1017002
1017002014,100001,1017002
1017002015,100001,1017002
1017002016,100001,1017002
1017002017,100001,1017002
1017002018,100001,1017002
1017002019,100001,1017002
1017002020,100001,1017002
1017002021,100001,1017002
1017002022,100001,1017002
1017002023,100001,1017002
1017002024,100001,1017002
1017002025,100001,1017002
1017003001,100002,1017003
1017003002,100002,1017003
1017003003,100002,1017003
1017003004,100002,1017003
1017003005,100002,1017003
1017003006,100002,1017003
1017003007,100002,1017003
1017003008,100002,1017003
1017003009,100002,1017003
1017003010,100002,1017003
1017003011,100002,1017003
1017003012,100002,1017003
1017003013,100002,1017003
1017004001,100002,1017004
1017004002,100002,1017004
1017004003,100002,1017004
1017004004,100002,1017004
1017004005,100002,1017004
1017004006,100002,1017004
1017004007,100002,1017004
1017004008,100002,1017004
1017004009,100002,1017004
1017004010,100002,1017004
1017004011,100002,1017004
1017004012,100002,1017004
1017004013,100002,1017004
1018001001,100001,1018001
1018001002,100001,1018001
1018001003,100001,1018001
1018001004,100001,1018001
1018001005,100001,1018001
1018001006,100001,1018001
1018001007,100001,1018001
1018001008,100001,1018001
1018001009,100001,1018001
1018001010,100001,1018001
1018001011,100001,1018001
1018001012,100001,1018001
1018001013,100001,1018001
1018001014,100001,1018001
1018001015,100001,1018001
1018001016,100001,1018001
1018001017,100001,1018001
1018001018,100001,1018001
1018001019,100001,1018001
1018001020,100001,1018001
1018001021,100001,1018001
1018001022,100001,1018001
1018001023,100001,1018001
1018001024,100001,1018001
1018001025,100001,1018001
1018001026,100001,1018001
1018001027,100001,1018001
1018001028,100001,1018001
1018001029,100001,1018001
1018001030,100001,1018001
1018001031,100001,1018001
1018001032,100001,1018001
1018001033,100001,1018001
1018001034,100001,1018001
1018001035,100001,1018001
1018001036,100001,1018001
1018001037,100001,1018001
1018001038,100001,1018001
1018001039,100001,1018001
1018001040,100001,1018001
1018001041,100001,1018001
1018002001,100001,1018002
1018002002,100001,1018002
1018002003,100001,1018002
1018002004,100001,1018002
1018002005,100001,1018002
1018002006,100001,1018002
1018002007,100001,1018002
1018002008,100001,1018002
1018002009,100001,1018002
1018002010,100001,1018002
1018002011,100001,1018002
1018002012,100001,1018002
1018002013,100001,1018002
1018002014,100001,1018002
1018002015,100001,1018002
1018002016,100001,1018002
1018002017,100001,1018002
1018002018,100001,1018002
1018002019,100001,1018002
1018002020,100001,1018002
1018002021,100001,1018002
1018002022,100001,1018002
1018002023,100001,1018002
1018002024,100001,1018002
1018002025,100001,1018002
1018002026,100001,1018002
1018002027,100001,1018002
1018002028,100001,1018002
1018002029,100001,1018002
1018002030,100001,1018002
1018002031,100001,1018002
1018002032,100001,1018002
1018002033,100001,1018002
1018002034,100001,1018002
1018002035,100001,1018002
1018002036,100001,1018002
1018002037,100001,1018002
1018002038,100001,1018002
1018002039,100001,1018002
1018002040,100001,1018002
1018002041,100001,1018002
1018003001,100002,1018003
1018003002,100002,1018003
1018003003,100002,1018003
1018003004,100002,1018003
1018003005,100002,1018003
1018003006,100002,1018003
1018003007,100002,1018003
1018003008,100002,1018003
1018003009,100002,1018003
1018003010,100002,1018003
1018003011,100002,1018003
1018003012,100002,1018003
1018003013,100002,1018003
1018003014,100002,1018003
1018003015,100002,1018003
1018003016,100002,1018003
1018003017,100002,1018003
1018003018,100002,1018003
1018003019,100002,1018003
1018003020,100002,1018003
1018003021,100002,1018003
1018004001,100002,1018004
1018004002,100002,1018004
1018004003,100002,1018004
1018004004,100002,1018004
1018004005,100002,1018004
1018004006,100002,1018004
1018004007,100002,1018004
1018004008,100002,1018004
1018004009,100002,1018004
1018004010,100002,1018004
1018004011,100002,1018004
1018004012,100002,1018004
1018004013,100002,1018004
1018004014,100002,1018004
1018004015,100002,1018004
1018004016,100002,1018004
1018004017,100002,1018004
1018004018,100002,1018004
1018004019,100002,1018004
1018004020,100002,1018004
1018004021,100002,1018004
1019001001,100001,1019001
1019001002,100001,1019001
1019001003,100001,1019001
1019001004,100001,1019001
1019001005,100001,1019001
1019001006,100001,1019001
1019001007,100001,1019001
1019001008,100001,1019001
1019001009,100001,1019001
1019001010,100001,1019001
1019001011,100001,1019001
1019001012,100001,1019001
1019001013,100001,1019001
1019001014,100001,1019001
1019001015,100001,1019001
1019001016,100001,1019001
1019001017,100001,1019001
1019001018,100001,1019001
1019001019,100001,1019001
1019001020,100001,1019001
1019001021,100001,1019001
1019001022,100001,1019001
1019001023,100001,1019001
1019001024,100001,1019001
1019001025,100001,1019001
1019002001,100001,1019002
1019002002,100001,1019002
1019002003,100001,1019002
1019002004,100001,1019002
1019002005,100001,1019002
1019002006,100001,1019002
1019002007,100001,1019002
1019002008,100001,1019002
1019002009,100001,1019002
1019002010,100001,1019002
1019002011,100001,1019002
1019002012,100001,1019002
1019002013,100001,1019002
1019002014,100001,1019002
1019002015,100001,1019002
1019002016,100001,1019002
1019002017,100001,1019002
1019002018,100001,1019002
