HAID,FID,HID,NR,ZEIT_ANKUFT,ZEIT_ABFAHRT
1017001001001,1017001001,10170,1,,10:00:00
1017001001002,1017001001,10295,2,10:00:48,10:01:18
1017001001003,1017001001,10219,3,10:02:20,10:02:50
1017001001004,1017001001,10243,4,10:03:39,10:04:09
1017001001005,1017001001,10278,5,10:05:00,10:05:30
1017001001006,1017001001,10222,6,10:06:37,10:07:07
1017001001007,1017001001,10260,7,10:07:46,10:08:16
1017001001008,1017001001,10216,8,10:08:57,10:09:27
1017001001009,1017001001,10246,9,10:10:19,10:10:49
1017001001010,1017001001,10264,10,10:11:30,10:12:00
1017001001011,1017001001,10320,11,10:12:54,10:13:24
1017001001012,1017001001,10245,12,10:14:16,10:14:46
1017001001013,1017001001,10310,13,10:15:11,
1017001002001,1017001002,10170,1,,10:05:00
1017001002002,1017001002,10295,2,10:05:48,10:06:18
1017001002003,1017001002,10219,3,10:07:20,10:07:50
1017001002004,1017001002,10243,4,10:08:39,10:09:09
1017001002005,1017001002,10278,5,10:10:00,10:10:30
1017001002006,1017001002,10222,6,10:11:37,10:12:07
1017001002007,1017001002,10260,7,10:12:46,10:13:16
1017001002008,1017001002,10216,8,10:13:57,10:14:27
1017001002009,1017001002,10246,9,10:15:19,10:15:49
1017001002010,1017001002,10264,10,10:16:30,10:17:00
1017001002011,1017001002,10320,11,10:17:54,10:18:24
1017001002012,1017001002,10245,12,10:19:16,10:19:46
1017001002013,1017001002,10310,13,10:20:11,
1017001003001,1017001003,10170,1,,10:10:00
1017001003002,1017001003,10295,2,10:10:48,10:11:18
1017001003003,1017001003,10219,3,10:12:20,10:12:50
1017001003004,1017001003,10243,4,10:13:39,10:14:09
1017001003005,1017001003,10278,5,10:15:00,10:15:30
1017001003006,1017001003,10222,6,10:16:37,10:17:07
1017001003007,1017001003,10260,7,10:17:46,10:18:16
1017001003008,1017001003,10216,8,10:18:57,10:19:27
1017001003009,1017001003,10246,9,10:20:19,10:20:49
1017001003010,1017001003,10264,10,10:21:30,10:22:00
1017001003011,1017001003,10320,11,10:22:54,10:23:24
1017001003012,1017001003,10245,12,10:24:16,10:24:46
1017001003013,1017001003,10310,13,10:25:11,
1017001004001,1017001004,10170,1,,10:15:00
1017001004002,1017001004,10295,2,10:15:48,10:16:18
1017001004003,1017001004,10219,3,10:17:20,10:17:50
1017001004004,1017001004,10243,4,10:18:39,10:19:09
1017001004005,1017001004,10278,5,10:20:00,10:20:30
1017001004006,1017001004,10222,6,10:21:37,10:22:07
1017001004007,1017001004,10260,7,10:22:46,10:23:16
1017001004008,1017001004,10216,8,10:23:57,10:24:27
1017001004009,1017001004,10246,9,10:25:19,10:25:49
1017001004010,1017001004,10264,10,10:26:30,10:27:00
1017001004011,1017001004,10320,11,10:27:54,10:28:24
1017001004012,1017001004,10245,12,10:29:16,10:29:46
1017001004013,1017001004,10310,13,10:30:11,
1017001005001,1017001005,10170,1,,10:20:00
1017001005002,1017001005,10295,2,10:20:48,10:21:18
1017001005003,1017001005,10219,3,10:22:20,10:22:50
1017001005004,1017001005,10243,4,10:23:39,10:24:09
1017001005005,1017001005,10278,5,10:25:00,10:25:30
1017001005006,1017001005,10222,6,10:26:37,10:27:07
1017001005007,1017001005,10260,7,10:27:46,10:28:16
1017001005008,1017001005,10216,8,10:28:57,10:29:27
1017001005009,1017001005,10246,9,10:30:19,10:30:49
1017001005010,1017001005,10264,10,10:31:30,10:32:00
1017001005011,1017001005,10320,11,10:32:54,10:33:24
1017001005012,1017001005,10245,12,10:34:16,10:34:46
1017001005013,1017001005,10310,13,10:35:11,
1017001006001,1017001006,10170,1,,10:25:00
1017001006002,1017001006,10295,2,10:25:48,10:26:18
1017001006003,1017001006,10219,3,10:27:20,10:27:50
1017001006004,1017001006,10243,4,10:28:39,10:29:09
1017001006005,1017001006,10278,5,10:30:00,10:30:30
1017001006006,1017001006,10222,6,10:31:37,10:32:07
1017001006007,1017001006,10260,7,10:32:46,10:33:16
1017001006008,1017001006,10216,8,10:33:57,10:34:27
1017001006009,1017001006,10246,9,10:35:19,10:35:49
1017001006010,1017001006,10264,10,10:36:30,10:37:00
1017001006011,1017001006,10320,11,10:37:54,10:38:24
1017001006012,1017001006,10245,12,10:39:16,10:39:46
1017001006013,1017001006,10310,13,10:40:11,
1017001007001,1017001007,10170,1,,10:30:00
1017001007002,1017001007,10295,2,10:30:48,10:31:18
1017001007003,1017001007,10219,3,10:32:20,10:32:50
1017001007004,1017001007,10243,4,10:33:39,10:34:09
1017001007005,1017001007,10278,5,10:35:00,10:35:30
1017001007006,1017001007,10222,6,10:36:37,10:37:07
1017001007007,1017001007,10260,7,10:37:46,10:38:16
1017001007008,1017001007,10216,8,10:38:57,10:39:27
1017001007009,1017001007,10246,9,10:40:19,10:40:49
1017001007010,1017001007,10264,10,10:41:30,10:42:00
1017001007011,1017001007,10320,11,10:42:54,10:43:24
1017001007012,1017001007,10245,12,10:44:16,10:44:46
1017001007013,1017001007,10310,13,10:45:11,
1017001008001,1017001008,10170,1,,10:35:00
1017001008002,1017001008,10295,2,10:35:48,10:36:18
