HID,BEZ,LAT,LNG
10001,TheodorHeussPlatz,52.509798,13.272977
10145,Alexanderplatz,52.521512,13.411267
10146,BerlinHauptbahnhof,52.525847,13.368924
10147,BrandenburgerTor,52.516511,13.381937
10148,Bundesplatz,52.477366,13.329149
10149,FrankfurterAllee,52.513613,13.4753
10150,FriedrichStr,52.52027,13.387153
10151,Gesundbrunnen,52.548637,13.388372
10152,HeidelbergerPlatz,52.479446,13.311843
10153,HermannStr,52.467181,13.431704
10154,InnsbruckerPlatz,52.4781,13.342875
10155,Jannowitzbrücke,52.5155,13.418027
10156,Jungfernheide,52.530431,13.300135
10157,KarlBonhoefferNervenklinik,52.578169,13.332921
10159,Lichtenberg,52.510754,13.498228
10160,Neukölln,52.469282,13.443692
10162,Pankow,52.567281,13.412279
10164,PotsdamerPlatz,52.50934,13.376454
10165,RathausSpandau,52.535798,13.199891
10166,RathausSteglitz,52.455066,13.322152
10168,SchönhauserAllee,52.549336,13.415138
10169,Tempelhof,52.470694,13.385754
10170,WarschauerStr,52.505765,13.449159
10171,Wedding,52.542732,13.36606
10172,Westhafen,52.536183,13.343837
10173,Wittenau,52.596392,13.335481
10175,Wuhletal,52.512724,13.574536
10176,YorckStr,52.492766,13.370429
10179,ZoologischerGarten,52.506921,13.332707
10180,Adenauerplatz,52.500086,13.307348
10181,AfrikanischeStr,52.560862,13.333502
10182,AltMariendorf,52.439641,13.387456
10183,AltTegel,52.589649,13.283821
10184,AltTempelhof,52.46593,13.385796
10185,AltstadtSpandau,52.539161,13.206763
10186,AmrumerStr,52.542202,13.349534
10187,AugsburgerStr,52.500557,13.336771
10188,BayerischerPlatz,52.488654,13.340237
10189,BerlinerStr,52.487047,13.331355
10190,BernauerStr,52.537994,13.396231
10191,BiesdorfSüd,52.499517,13.547326
10192,BirkenStr,52.532229,13.341417
10193,BismarckStr,52.511543,13.305335
10194,Blaschkoallee,52.452743,13.448976
10195,BlisseStr,52.486478,13.320545
10196,BoddinStr,52.479745,13.425782
10197,Borsigwerke,52.582139,13.290122
10198,Breitenbachplatz,52.467342,13.309276
10199,BritzSüd,52.437076,13.447668
10200,Bundestag,52.52011,13.372952
10201,BülowStr,52.497627,13.362456
10202,CottbusserPlatz,52.533963,13.596894
10203,DahlemDorf,52.457695,13.290011
10204,DeutscheOper,52.511827,13.30942
10205,EberswalderStr,52.541022,13.412154
10206,EisenacherStr,52.489477,13.350284
10207,ElsterwerdaerPlatz,52.504643,13.560762
10208,ErnstReuterPlatz,52.511582,13.322581
10209,FehrbellinerPlatz,52.490201,13.314519
10210,FrankfurterTor,52.515772,13.454085
10211,FranzNeumannPlatz,52.563854,13.364283
10212,FranzösischeStr,52.51477,13.389208
10213,FreieUniversität,52.451,13.281651
10214,FriedrichWilhelmPlatz,52.471439,13.328676
10215,Friedrichsfelde,52.505464,13.513544
10216,Gleisdreieck,52.499587,13.374293
10217,Gneisenaustr,52.491252,13.395382
10218,Grenzallee,52.463516,13.444828
10219,GörlitzerBahnhof,52.499035,13.428468
10220,GüntzelStr,52.491992,13.33121
10221,Halemweg,52.536703,13.286578
10222,HalleschesTor,52.497774,13.39176
10223,Hansaplatz,52.518111,13.342165
10224,Haselhorst,52.538718,13.232309
10225,Hausvogteiplatz,52.513361,13.395346
10226,HeinrichHeineStr,52.510858,13.416169
10227,Hellersdorf,52.535946,13.605794
10228,Hermannplatz,52.486957,13.42472
10229,Hohenzollernplatz,52.493833,13.324051
10230,HolzhauserStr,52.576252,13.295083
10231,Hönow,52.538105,13.634541
10232,JakobKaiserPlatz,52.536985,13.293661
10233,JohannisthalerChaussee,52.429253,13.453851
10234,Kaiserdamm,52.509985,13.281695
10235,KaiserinAugustaStr,52.460512,13.384905
10236,KarlMarxStr,52.476429,13.439805
10237,KaulsdorfNord,52.521436,13.588763
10238,Kienberg,52.52849,13.59055
10239,Kleistpark,52.490845,13.360917
10240,KlosterStr,52.517229,13.412455
10241,KochStr,52.506673,13.390863
10242,KonstanzerStr,52.493567,13.310084
10243,KottbusserTor,52.499047,13.417748
10244,KrummeLanke,52.442615,13.24036
10245,Kurfürstendamm,52.503763,13.331419
10246,KurfürstenStr,52.499778,13.362857
10247,KurtSchumacherPlatz,52.563483,13.327328
10248,LeineStr,52.472874,13.4284
