hid_a,hid_b,laenge_in_meter
10001,10263,1152
10145,10240,483
10145,10294,734
10145,10317,590
10146,10200,694
10148,10189,1088
10149,10253,972
10150,10267,545
10151,10271,599
10152,10291,796
10153,10248,672
10154,10281,585
10155,10145,811
10156,10232,851
10157,10280,1224
10159,10215,1195
10160,10236,838
10162,10313,870
10164,10255,627
10166,10296,705
10168,10205,947
10169,10273,831
10170,10295,717
10171,10249,616
10172,10186,773
10175,10237,1368
10176,10239,681
10179,10208,861
10179,10223,1401
10180,10319,705
10181,10247,510
10182,10318,697
10184,10169,530
10185,10165,598
10186,10249,822
10187,10303,609
10188,10189,629
10188,10312,861
10189,10195,737
10189,10220,550
10190,10314,485
10191,10207,1076
10192,10172,470
10193,10285,637
10193,10302,538
10194,10218,1231
10195,10209,582
10196,10228,806
10197,10183,939
10198,10277,1019
10199,10274,928
10200,10147,730
10201,10264,628
10202,10227,643
10203,10213,937
10204,10193,279
10205,10300,935
10206,10188,689
10207,10175,1297
10208,10204,894
10209,10152,1211
10209,10242,481
10210,10292,774
10211,10284,816
10212,10150,628
10213,10268,869
10214,10148,660
10215,10308,1143
10216,10201,833
10216,10246,777
10217,10254,555
10218,10160,646
10219,10243,728
10220,10303,512
10221,10301,900
10222,10241,992
10222,10260,592
10223,10309,872
10224,10322,1005
10225,10305,435
10226,10155,532
10227,10252,1009
10228,10298,713
10228,10307,1184
10229,10209,763
10230,10197,736
10232,10221,482
10233,10199,967
10234,10001,592
10235,10184,606
10236,10279,625
10237,10238,794
10238,10202,746
10239,10206,738
10240,10259,633
10241,10305,542
10242,10180,749
10243,10258,697
10243,10278,767
10245,10179,362
10245,10310,370
10246,10264,614
10247,10293,1145
10248,10196,785
10249,10262,778
10249,10299,671
10250,10157,518
10251,10233,812
10252,10231,1013
10253,10159,618
10254,10222,529
10254,10260,684
10255,10216,470
10256,10156,624
10257,10164,554
10258,10226,868
10259,10304,443
10260,10176,1110
10260,10216,613
10261,10297,588
10262,10269,740
10263,10265,643
10264,10320,813
10265,10290,1115
10266,10244,1251
10267,10261,763
10268,10266,1013
10269,10211,967
10270,10230,787
10271,10269,793
10272,10250,583
10273,10276,841
10274,10194,831
10275,10224,1107
10276,10254,879
10277,10203,802
10278,10222,1005
10279,10228,942
10280,10173,1131
10281,10188,604
10282,10181,691
10283,10171,431
10284,10272,979
10285,10256,987
10286,10275,978
10287,10145,746
10288,10190,979
10289,10323,1161
10291,10198,667
10292,10149,686
10293,10270,726
10294,10306,745
10295,10219,935
10296,10315,489
10297,10283,673
10298,10243,721
10299,10282,1014
10300,10287,516
10301,10286,709
10302,10234,1076
10303,10229,541
10303,10245,801
10304,10225,528
10305,10212,366
10305,10257,402
10306,10316,763
10307,10217,866
10308,10191,1629
10309,10192,700
10311,10235,786
10312,10264,815
10313,10168,1137
10314,10151,814
10315,10214,717
10316,10210,743
10317,10288,557
10318,10311,853
10319,10193,579
10320,10179,857
10320,10187,429
10320,10245,779
10321,10251,814
10322,10185,759
10323,10321,650
